id,name,kind,sheets,body
"market","Рынок и применимые правила","note","rules","Открытый вопрос: где продаётся продукт? Сначала определить рынок, затем найти действующие официальные требования к пищевой продукции и информации на упаковке.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"trace","Прослеживаемость партии","rule","rules","Связать входящую партию, рецепт, дату обжарки и готовую упаковку. Это проектное правило демо, не цитата из закона.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"documents","Документы поставщика","note","rules","Список нужных документов должен быть подтверждён для выбранного рынка. В этой карте такого подтверждения пока нет.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"food","Проверка помещения","process","rules","До аренды проверить пригодность помещения и действующие требования. Вопросы про вентиляцию, электричество и пищевое производство передать профильным специалистам.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"claim","Проверить обещания на упаковке","process","rules","Сопоставить макет с фактической смесью. Связь с рецептом нужна и без формального требования указывать страну.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"roaster","Ростер","entity","equipment","Выбор после теста партии и оценки производительности. Паспортная ёмкость не равна стабильному выпуску за смену.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"ventilation","Вентиляция","entity","equipment","Проверить требования конкретного ростера и помещения. В демо нет инженерного расчёта.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"power","Электропитание","risk","equipment","Сверить доступную мощность с оборудованием до подписания аренды.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"scales","Весы","entity","equipment","Входное и выходное взвешивание дают фактическую потерю массы. Предусмотреть проверку точности.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"sealer","Запайщик","entity","equipment","Тест герметичности на выбранном пакете. Скорость запайки может ограничить всю линию.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"service","План обслуживания","rule","equipment","Опираться на документацию изготовителя. Хранить историю обслуживания отдельно от текущего плана.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"roaster_role","Обжарщик","person","people","Ведёт профиль и записи о партиях; останавливает выпуск при отклонениях.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"sales_role","Продажи","person","people","Собирает обратную связь и повторные заказы. Не меняет обещание вкуса без согласования.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"label_role","Ответственный за этикетку","person","people","Проверяет макет при изменении рецепта и рынка. Ответственность должна иметь имя, а не только роль.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"training","Обучение смены","process","people","Передача навыка включает журнал партии и совместную дегустацию.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"backup_role","Замена на смене","risk","people","Один человек с нужным навыком — риск остановки. Проверить, кто способен его заменить.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"feedback","Журнал обратной связи","note","people","Записывать номер партии вместе с отзывом: иначе нельзя связать проблему с рецептом и процессом.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"weigh","Взвесить зерно","process","roasting","Записать массы компонентов и идентификаторы входящих партий.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"roast","Обжарить","process","roasting","Записать фактический профиль. Точки времени и температуры не являются инструкцией по безопасной эксплуатации.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"cool","Остудить","process","roasting","Следовать инструкции оборудования; проверить воспроизводимость охлаждения.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"cup","Оценить чашку","decision","roasting","Партия проходит дегустацию? Если нет, записать причину и решение о партии.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"seal","Упаковать и промаркировать","process","roasting","Проверить массу, шов, версию этикетки и связь с журналом партии.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"log","Журнал партии","note","roasting","Источник фактических наблюдений. В демо записи ещё нет: это место для будущего первичного документа.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
